MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
826.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
830.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
835.500   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
840.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
845.100   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
850.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
854.600   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
860.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
864.200   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
870.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
873.700   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
880.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
883.300   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
890.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
892.900   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
900.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
902.100   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
910.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
911.600   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
920.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
921.200   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
930.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
930.700   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
940.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
940.200   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
950.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
950.431   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
960.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
970.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
980.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
990.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
990.131   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1000.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1010.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1020.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1030.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1030.131  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1040.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1050.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1060.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1070.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1080.000  ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1090.000  ,,,,,,,,,,,120.65,40.64,10.5,,,,85.87,0.3,110
1100.000  ,,,,,,,,,,,120.65,40.64,9.5,,,,85.87,0.3,110
1110.000  ,,,,,,,,,,,120.65,44.45,1.524,,,,43.75,0.3,110
1118.595  ,,,,,,,,,,,120.65,63.5,7,,,,57.37,0.3,110
,,,,,,,,,,,,,,,,,81.85,,
