Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
1023.15,1023.13,20.51,36.86,22.74,17.12,-3.16,-4.47,-8.93,127.32,225
1032.27,1032.26,20.33,36.64,22.54,16.94,-0.52,-0.74,-1.48,127.32,225
1041.4,1041.38,20.15,36.41,22.34,16.75,-1.33,-1.89,-3.78,127.32,225
1050.53,1050.51,19.95,36.21,22.15,16.56,-2.17,-3.06,-6.13,127.32,225
1059.65,1059.64,19.76,36,21.95,16.37,-3.4,-4.81,-9.62,127.32,225
1068.78,1068.76,19.58,35.78,21.75,16.18,-0.81,-1.14,-2.29,127.32,225
1077.91,1077.89,19.4,35.54,21.55,16,-4.51,-6.38,-12.77,127.32,225
1087.04,1087.02,19.23,35.31,21.36,15.82,-0.61,-0.87,-1.73,127.32,225
1096.16,1096.14,19.04,35.09,21.16,15.64,-1.72,-2.44,-4.88,127.32,225
1105.29,1105.27,18.85,34.88,20.96,15.44,-0.54,-0.76,-1.52,127.32,225
1114.42,1114.4,18.67,34.66,20.77,15.26,-3.31,-4.68,-9.37,127.32,225
1123.54,1123.52,18.48,34.44,20.57,15.07,-2.54,-3.59,-7.18,127.32,225
1132.67,1132.65,18.3,34.23,20.37,14.88,-0.82,-1.15,-2.31,127.32,225
1141.8,1141.78,18.12,34,20.18,14.7,-0.48,-0.68,-1.35,127.32,225
1150.92,1150.9,17.93,33.78,19.98,14.51,-1.37,-1.93,-3.86,127.32,225
1160.05,1160.03,17.74,33.58,19.78,14.32,-3.06,-4.32,-8.65,127.32,225
1169.18,1169.16,17.55,33.36,19.59,14.13,-3.66,-5.18,-10.37,127.32,225
1178.31,1178.28,17.37,33.13,19.39,13.94,-0.74,-1.04,-2.08,127.32,225
1187.43,1187.41,17.19,32.91,19.19,13.76,-0.82,-1.16,-2.32,127.32,225
