MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
2336.5,75.48,19.28,2232.152,2214.783,243.411,91.517,5089697.911,9691515.207,3.951,260.03,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2340,75.964,19.403,2233.015,2215.647,246.611,92.64,5089701.111,9691516.33,4.273,263.42,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2345.9,76.78,19.61,2234.405,2217.037,252.016,94.555,5089706.516,9691518.245,4.273,269.16,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2350,77.447,19.455,2235.319,2217.951,255.782,95.891,5089710.282,9691519.581,5,273.15,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2360,79.072,19.082,2237.354,2219.986,265.024,99.122,5089719.524,9691522.812,5,282.94,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2370,80.699,18.712,2239.11,2221.742,274.338,102.31,5089728.838,9691526,5,292.79,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2380,82.326,18.346,2240.586,2223.218,283.716,105.453,5089738.216,9691529.143,5,302.67,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2390,83.953,17.982,2241.781,2224.412,293.149,108.548,5089747.649,9691532.238,5,312.6,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2400,85.58,17.621,2242.693,2225.325,302.63,111.592,5089757.13,9691535.282,5,322.55,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2410,87.208,17.261,2243.322,2225.953,312.151,114.583,5089766.651,9691538.273,5,332.52,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2420,88.835,16.902,2243.667,2226.299,321.704,117.519,5089776.204,9691541.209,5,342.5,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2427.155,90,16.646,2243.739,2226.371,328.554,119.583,5089783.054,9691543.273,5,349.64,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2430,90,16.93,2243.739,2226.371,331.278,120.405,5089785.778,9691544.095,3,352.48,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2440,90,17.93,2243.739,2226.371,340.819,123.4,5089795.319,9691547.09,3,362.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2450,90,18.93,2243.739,2226.371,350.306,126.562,5089804.806,9691550.252,3,372.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2460,90,19.93,2243.739,2226.371,359.736,129.888,5089814.236,9691553.578,3,382.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2461.797,90,20.11,2243.739,2226.371,361.425,130.504,5089815.925,9691554.194,3,384.26,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2470,90,20.11,2243.739,2226.371,369.127,133.324,5089823.627,9691557.014,0,392.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2480,90,20.11,2243.739,2226.371,378.518,136.762,5089833.018,9691560.452,0,402.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2490,90,20.11,2243.739,2226.371,387.908,140.201,5089842.408,9691563.891,0,412.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2500,90,20.11,2243.739,2226.371,397.298,143.639,5089851.798,9691567.329,0,422.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2510,90,20.11,2243.739,2226.371,406.689,147.077,5089861.189,9691570.767,0,432.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2520,90,20.11,2243.739,2226.371,416.079,150.515,5089870.579,9691574.205,0,442.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2530,90,20.11,2243.739,2226.371,425.469,153.953,5089879.969,9691577.643,0,452.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2540,90,20.11,2243.739,2226.371,434.86,157.392,5089889.36,9691581.082,0,462.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2550,90,20.11,2243.739,2226.371,444.25,160.83,5089898.75,9691584.52,0,472.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2560,90,20.11,2243.739,2226.371,453.64,164.268,5089908.14,9691587.958,0,482.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2570,90,20.11,2243.739,2226.371,463.031,167.706,5089917.531,9691591.396,0,492.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2580,90,20.11,2243.739,2226.371,472.421,171.145,5089926.921,9691594.835,0,502.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2590,90,20.11,2243.739,2226.371,481.811,174.583,5089936.311,9691598.273,0,512.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2600,90,20.11,2243.739,2226.371,491.202,178.021,5089945.702,9691601.711,0,522.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2610,90,20.11,2243.739,2226.371,500.592,181.459,5089955.092,9691605.149,0,532.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2620,90,20.11,2243.739,2226.371,509.982,184.898,5089964.482,9691608.588,0,542.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2630,90,20.11,2243.739,2226.371,519.373,188.336,5089973.873,9691612.026,0,552.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2640,90,20.11,2243.739,2226.371,528.763,191.774,5089983.263,9691615.464,0,562.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2650,90,20.11,2243.739,2226.371,538.153,195.212,5089992.653,9691618.902,0,572.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2660,90,20.11,2243.739,2226.371,547.544,198.651,5090002.044,9691622.341,0,582.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2670,90,20.11,2243.739,2226.371,556.934,202.089,5090011.434,9691625.779,0,592.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2680,90,20.11,2243.739,2226.371,566.324,205.527,5090020.824,9691629.217,0,602.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2690,90,20.11,2243.739,2226.371,575.715,208.965,5090030.215,9691632.655,0,612.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2700,90,20.11,2243.739,2226.371,585.105,212.403,5090039.605,9691636.093,0,622.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2710,90,20.11,2243.739,2226.371,594.496,215.842,5090048.996,9691639.532,0,632.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2720,90,20.11,2243.739,2226.371,603.886,219.28,5090058.386,9691642.97,0,642.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2730,90,20.11,2243.739,2226.371,613.276,222.718,5090067.776,9691646.408,0,652.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2740,90,20.11,2243.739,2226.371,622.667,226.156,5090077.167,9691649.846,0,662.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2750,90,20.11,2243.739,2226.371,632.057,229.595,5090086.557,9691653.285,0,672.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2760,90,20.11,2243.739,2226.371,641.447,233.033,5090095.947,9691656.723,0,682.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2770,90,20.11,2243.739,2226.371,650.838,236.471,5090105.338,9691660.161,0,692.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2780,90,20.11,2243.739,2226.371,660.228,239.909,5090114.728,9691663.599,0,702.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2790,90,20.11,2243.739,2226.371,669.618,243.348,5090124.118,9691667.038,0,712.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2800,90,20.11,2243.739,2226.371,679.009,246.786,5090133.509,9691670.476,0,722.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2810,90,20.11,2243.739,2226.371,688.399,250.224,5090142.899,9691673.914,0,732.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2820,90,20.11,2243.739,2226.371,697.789,253.662,5090152.289,9691677.352,0,742.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2830,90,20.11,2243.739,2226.371,707.18,257.101,5090161.68,9691680.791,0,752.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2840,90,20.11,2243.739,2226.371,716.57,260.539,5090171.07,9691684.229,0,762.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2850,90,20.11,2243.739,2226.371,725.96,263.977,5090180.46,9691687.667,0,772.47,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2860,90,20.11,2243.739,2226.371,735.351,267.415,5090189.851,9691691.105,0,782.46,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2870,90,20.11,2243.739,2226.371,744.741,270.854,5090199.241,9691694.544,0,792.46,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2880,90,20.11,2243.739,2226.371,754.131,274.292,5090208.631,9691697.982,0,802.46,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2890,90,20.11,2243.739,2226.371,763.522,277.73,5090218.022,9691701.42,0,812.46,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2900,90,20.11,2243.739,2226.371,772.912,281.168,5090227.412,9691704.858,0,822.46,120.65,40.64,10.44,0.469,119.86,53.98,85.87,0.3,110
2910,90,20.11,2243.739,2226.371,782.302,284.606,5090236.802,9691708.296,0,832.46,120.65,40.64,9.1,0.469,119.86,53.98,85.87,0.3,105
2920,90,20.11,2243.739,2226.371,791.693,288.045,5090246.193,9691711.735,0,842.46,120.65,44.45,1.524,0.469,119.86,53.98,43.75,0.3,110
2927.227,90,20.11,2243.739,2226.371,798.479,290.53,5090252.979,9691714.22,0,849.69,120.65,63.5,7,0.469,119.86,53.98,57.37,0.3,110
